Name	On3 Rating	247 Rating	ESPN Rating	Rivals Rating	Position	City	State	Commit Status	Commit Team
Jordan Thomas	[92]	[93]	[84]	[5.8]	DL	Ramsey	NJ	True	Georgia Bulldogs	
Jericho Johnson	[91]	[92]	[82]	[5.9]	DL	Fairfield	CA	False	False	
Walter Matthews	[92]	[93]	[84]	[5.8]	TE	Hiram	GA	True	Usc Trojans	
Aaron Flowers	[93]	[92]	[83]	[5.8]	S	Forney	TX	True	Oregon Ducks	
Hunter Moddon	[92]	[92]	[84]	[5.8]	CB	Houston	TX	False	False	
DeAndre Carter	[89]	[94]	[86]	[5.9]	IOL	Santa Ana	CA	False	False	
Kris Jones	[90]	[93]	[83]	[5.9]	LB	Fairfax	VA	False	False	
Ian Moore	[90]	[91]	[83]	[6.0]	IOL	New Palestine	IN	True	Ohio State Buckeyes	
NiTareon Tuggle	[90]	[93]	[82]	[5.9]	WR	South Bend	IN	True	Georgia Bulldogs	
Jordan Pride	[92]	[92]	[85]	[5.8]	S	Blountstown	FL	True	Texas Am Aggies	
Kam Mikell	[94]	[91]	[83]	[5.8]	CB	Statesboro	GA	False	False	
Amir Jackson	[92]	[90]	[84]	[5.9]	TE	Portal	GA	True	Florida Gators	
TJ Moore	[92]	[93]	[82]	[5.8]	WR	Tampa	FL	True	Clemson Tigers	
JJ Harrell	[93]	[90]	[81]	[5.9]	WR	Sardis	MS	True	Mississippi State Bulldogs	
Bradley Shaw	[91]	[94]	[82]	[5.8]	LB	Hoover	AL	False	False	
Cutter Boley	[94]	[90]	[81]	[5.9]	QB	Hodgenville	KY	True	Kentucky Wildcats	
Aeryn Hampton	[92]	[90]	[83]	[5.9]	WR	Daingerfield	TX	False	False	
Walker White	[91]	[93]	[82]	[5.8]	QB	Little Rock	AR	True	Auburn Tigers	
Kameryn Fountain	[90]	[95]	[84]	[5.7]	EDGE	Atlanta	GA	True	Usc Trojans	
Maurice Williams	[91]	[91]	[82]	[5.9]	S	Bellaire	TX	True	Houston Cougars	
Jonathan Echols	[92]	[91]	[86]	[5.8]	TE	Franklin	GA	True	Tennessee Volunteers	
