2023-7-10 2023-7-11 2023-7-12 2023-7-13 2023-7-14 2023-7-15 2023-7-16 2023-7-18
Amir Jackson	['92', '92', '92', '92', '92', '92', '92', '92']	['90', '90', '90', '90', '90', '90', '90', '90']	['84', '84', '84', '84', '84', '84', '84', '84']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	TE	Portal	GA	True	Florida Gators	
Amontrae Bradford	['88', '88', '88', '88', '88', '88', '88', '88']	['86', '86', '86', '86', '86', '86', '86', '86']	['-', '-', '-', '-', '-', '-', '-', '-']	['-', '-', '-', '-', '5.6', '5.6', '5.6', '5.6']	EDGE	Statesboro	GA	False	False	
Ananias Walker	['87', '87', '87', '87', '87', '87', '87', '87']	['88', '88', '88', '88', '88', '88', '88', '88']	['77', '77', '77', '77', '77', '77', '77', '77']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	ATH	Rohnert Park	CA	False	False	
Andrew Dennis	['88', '88', '88', '88', '88', '88', '88', '88']	['90', '90', '90', '90', '90', '90', '90', '90']	['78', '78', '78', '78', '78', '78', '78', '78']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	IOL	Mount Pleasant	MI	True	Michigan State Spartans	
Andrew Hines III	['87', '87', '87', '87', '87', '87', '87', '87']	['88', '88', '88', '88', '88', '88', '88', '88']	['80', '80', '80', '80', '80', '80', '80', '80']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	LB	Atlanta	GA	True	Wake Forest Demon Deacons	
Andrew Rosinski	['87', '87', '87', '87', '87', '87', '87', '87']	['88', '88', '88', '88', '88', '88', '88', '88']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	OT	Ball Ground	GA	True	North Carolina Tar Heels	
Andrew Sprague	['92', '92', '92', '92', '92', '92', '92', '92']	['92', '92', '92', '92', '92', '92', '92', '92']	['82', '82', '82', '82', '82', '82', '82', '82']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	OT	Kansas City	MO	True	Michigan Wolverines	
Anelu Lafaele	['86', '86', '86', '86', '86', '86', '86', '86']	['90', '90', '90', '90', '90', '90', '90', '90']	['-', '-', '79', '79', '79', '79', '79', '79']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	EDGE	Honolulu	HI	False	False	
Aneyas Williams	['90', '90', '90', '90', '90', '90', '90', '90']	['90', '90', '90', '90', '90', '90', '90', '90']	['80', '80', '80', '80', '80', '80', '80', '80']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	RB	Hannibal	MO	True	Notre Dame Fighting Irish	
Anthonie Knapp	['91', '91', '91', '91', '91', '91', '91', '91']	['88', '88', '88', '88', '88', '88', '88', '88']	['78', '78', '78', '78', '78', '78', '78', '78']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	IOL	Roswell	GA	True	Notre Dame Fighting Irish	
Anthony Carrie	['89', '89', '89', '89', '89', '89', '89', '89']	['89', '89', '89', '89', '89', '89', '89', '89']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	RB	Tampa	FL	True	Michigan State Spartans	
Anthony Maddox	['87', '87', '87', '87', '87', '87', '87', '87']	['87', '87', '87', '87', '87', '87', '87', '87']	['82', '82', '82', '82', '82', '82', '82', '82']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	QB	Hattiesburg	MS	True	Texas Am Aggies	
Anthony Reddick	['87', '87', '87', '87', '87', '87', '87', '87']	['86', '86', '86', '86', '86', '86', '86', '86']	['-', '-', '-', '-', '-', '-', '-', '-']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	EDGE	Hampton	VA	True	Maryland Terrapins	
Anthony Robinson	['88', '88', '88', '88', '88', '88', '88', '88']	['89', '89', '89', '89', '89', '89', '89', '89']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	S	Destrehan	LA	True	Ole Miss Rebels	
Anthony Speca	['88', '88', '88', '88', '88', '88', '88', '88']	['89', '89', '89', '89', '89', '89', '89', '89']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	LB	Pittsburgh	PA	True	Penn State Nittany Lions	
Antoine Belgrave-Shorter	['88', '88', '88', '88', '88', '88', '88', '88']	['87', '87', '87', '87', '87', '87', '87', '87']	['77', '77', '77', '77', '77', '77', '77', '77']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	CB	Jacksonville	FL	True	Penn State Nittany Lions	
Antonio White	['82', '82', '82', '82', '82', '82', '82', '82']	['88', '88', '88', '88', '88', '88', '88', '88']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	WR	Lilburn	GA	True	Rutgers Scarlet Knights	
Antwan Smith	['88', '88', '88', '88', '88', '88', '88', '88']	['88', '88', '88', '88', '88', '88', '88', '88']	['-', '-', '-', '-', '77', '77', '77', '77']	['5.5', '5.5', '5.5', '5.5', '5.5', '5.5', '5.5', '5.5']	LB	Atlanta	GA	True	Kentucky Wildcats	
Artavius Jones	['91', '91', '91', '91', '91', '91', '91', '91']	['92', '92', '92', '92', '92', '92', '92', '92']	['84', '84', '84', '84', '84', '84', '84', '84']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	DL	Blountstown	FL	False	False	
Asaad Brown	['87', '87', '87', '87', '87', '87', '87', '87']	['87', '87', '87', '87', '87', '87', '87', '87']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	CB	Portsmouth	VA	True	Nc State Wolfpack	
Ashton Bethel-Roman	['92', '92', '92', '92', '92', '92', '92', '92']	['93', '93', '93', '93', '93', '93', '93', '93']	['82', '82', '82', '82', '82', '82', '82', '82']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	WR	Missouri City	TX	True	Arkansas Razorbacks	
Ashton Funk	['89', '89', '89', '89', '89', '89', '89', '89']	['89', '89', '89', '89', '89', '89', '89', '89']	['83', '83', '83', '83', '83', '83', '83', '83']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	IOL	Katy	TX	True	Texas Am Aggies	
Ashton Hampton	['86', '86', '86', '86', '86', '86', '86', '86']	['87', '87', '87', '87', '87', '87', '87', '86']	['78', '78', '78', '78', '78', '78', '78', '78']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	ATH	Tallahassee	FL	False	False	
Ashton Hampton	['-', '-', '-', '-', '-', '-', '-', '-']	['-', '-', '-', '-', '-', '-', '-', '87']	['-', '-', '-', '-', '-', '-', '-', '79']	['-', '-', '-', '-', '-', '-', '-', '5.6']	S	Pearland	TX	True	Texas Tech Red Raiders	
Ashton Murphy	['87', '87', '87', '87', '87', '87', '87', '87']	['88', '88', '88', '88', '88', '88', '88', '88']	['77', '77', '77', '77', '77', '77', '77', '77']	['5.5', '5.5', '5.5', '5.5', '5.5', '5.5', '5.5', '5.5']	DL	Elkhorn	NE	True	Nebraska Cornhuskers	
Ashton Williams	['-', '-', '-', '-', '-', '-', '-', '84']	['-', '-', '-', '-', '-', '-', '-', '-']	['-', '-', '-', '-', '-', '-', '-', '-']	['-', '-', '-', '-', '-', '-', '-', '5.7']	S	Trophy Club	TX	False	False	
Ashton Woods	['88', '88', '88', '88', '88', '88', '88', '88']	['86', '86', '86', '86', '86', '86', '86', '86']	['77', '77', '77', '77', '77', '77', '77', '77']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	LB	Marietta	GA	True	North Carolina Tar Heels	
Austin Alexander	['91', '91', '91', '91', '91', '91', '91', '91']	['89', '89', '89', '89', '89', '89', '89', '89']	['80', '80', '80', '80', '80', '80', '80', '80']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	CB	Hazel Crest	IL	True	Kansas Jayhawks	
Aydin Breland	['96', '96', '96', '96', '96', '96', '96', '96']	['98', '98', '98', '98', '98', '98', '98', '98']	['86', '86', '86', '86', '86', '86', '86', '86']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	DL	Santa Ana	CA	False	False	
